dates,DBABFV,DBABCVC,DBABFCDM,DBABCC,DBABFCEM,DBABVRE,DBABEMT,DBABCM,DBABCVS,DBABRV,DBABVCE,DBABEL,DBABRC,DBABRMB,DBABCR,DBABRRUS,DBABVTE,DBABEEUS,DBABRMI,DBABRREU,SPXT_FUT,EUR,GBP,AUD,NZD,CHF,CAD,SEK,NOK,JPY,EQ_EM,BCOM,US_BOND_10yr
2/22/2000,#N/A N/A,19.6564,#N/A N/A,55.6749,#N/A N/A,#N/A N/A,#N/A N/A,14.8643,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.4689,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1398,82.39769738,97.31707518,99.50476888,90.0996191,81.17330812,104.956691,91.40339814,93.23065043,97.05494578,#N/A N/A,#N/A N/A,#N/A N/A
2/23/2000,#N/A N/A,19.9597,#N/A N/A,55.6078,#N/A N/A,#N/A N/A,#N/A N/A,15.1665,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.4903,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1407.5,82.3652735,96.79325513,99.42151501,90.00442402,80.99208442,105.0884469,91.46155617,93.25098276,96.7068396,#N/A N/A,#N/A N/A,#N/A N/A
2/24/2000,#N/A N/A,19.9565,#N/A N/A,55.4115,#N/A N/A,#N/A N/A,#N/A N/A,15.2126,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.553,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1397.75,81.40776489,96.57651283,98.44497373,89.67037939,80.19087489,105.5679926,90.95876448,92.63059522,96.43166165,#N/A N/A,#N/A N/A,#N/A N/A
2/25/2000,#N/A N/A,20.4785,#N/A N/A,55.2916,#N/A N/A,#N/A N/A,#N/A N/A,15.5995,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.5657,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1385.5,79.99896741,96.27534112,98.38003683,89.70615558,78.82042732,106.0154366,90.17973831,91.66382699,97.36297871,#N/A N/A,#N/A N/A,#N/A N/A
2/28/2000,#N/A N/A,20.843,#N/A N/A,55.2637,#N/A N/A,#N/A N/A,#N/A N/A,15.7048,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3865,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1393,79.66511183,96.30593825,98.33077484,89.5026291,78.54952173,105.6968856,90.29259103,91.40679529,98.09484327,#N/A N/A,#N/A N/A,#N/A N/A
2/29/2000,#N/A N/A,20.8779,#N/A N/A,55.3421,#N/A N/A,#N/A N/A,#N/A N/A,15.5887,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3563,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1412.75,79.10977814,95.30458703,98.80907377,89.9798477,78.03556514,105.8598057,89.38697733,90.68254882,97.29713125,#N/A N/A,#N/A N/A,#N/A N/A
3/1/2000,#N/A N/A,21.3211,#N/A N/A,55.3023,#N/A N/A,#N/A N/A,#N/A N/A,15.7342,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3075,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1425.75,79.791179,95.68011438,96.86911802,89.60949933,78.68222597,105.862252,90.31135519,91.75194541,100.0461189,#N/A N/A,#N/A N/A,#N/A N/A
3/2/2000,#N/A N/A,21.3347,#N/A N/A,55.3083,#N/A N/A,#N/A N/A,#N/A N/A,15.7904,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3586,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1428.5,79.20322457,95.14948022,96.96387607,89.62669656,78.0200196,105.338683,89.10183813,91.06078456,99.60292862,#N/A N/A,#N/A N/A,#N/A N/A
3/3/2000,#N/A N/A,21.249,#N/A N/A,55.2905,#N/A N/A,#N/A N/A,#N/A N/A,15.6617,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3559,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1455.5,78.62371879,95.2223843,97.29836386,89.82809453,77.45155459,105.820577,88.87019699,90.37387044,99.438966,#N/A N/A,#N/A N/A,#N/A N/A
3/6/2000,#N/A N/A,21.3963,#N/A N/A,55.4074,#N/A N/A,#N/A N/A,#N/A N/A,15.6482,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3486,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1439,78.61815788,95.04763692,96.25701229,88.83371371,77.4174813,105.6045115,88.94121046,90.26455376,99.75570655,#N/A N/A,#N/A N/A,#N/A N/A
3/7/2000,#N/A N/A,22.0926,#N/A N/A,55.6153,#N/A N/A,#N/A N/A,#N/A N/A,15.9467,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.4316,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1400.75,78.59630128,95.38014371,96.76692338,89.1082154,77.44922657,105.4691737,89.06937877,90.35828041,101.0742109,#N/A N/A,#N/A N/A,#N/A N/A
3/8/2000,#N/A N/A,21.0921,#N/A N/A,55.5475,#N/A N/A,#N/A N/A,#N/A N/A,15.457,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3442,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1411.25,78.79414516,95.46050227,97.46608879,89.82356402,77.65619859,105.4208205,88.71866418,90.35441595,100.0682944,#N/A N/A,#N/A N/A,#N/A N/A
3/9/2000,#N/A N/A,21.1125,#N/A N/A,55.4299,#N/A N/A,#N/A N/A,#N/A N/A,15.4588,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3639,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1445.75,79.27269046,95.52118731,98.3123407,90.7606055,78.06180055,105.3262367,89.56659762,90.74299107,100.653365,#N/A N/A,#N/A N/A,#N/A N/A
3/10/2000,#N/A N/A,20.9717,#N/A N/A,55.232,#N/A N/A,#N/A N/A,#N/A N/A,15.4999,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.534,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1440.75,79.00533267,95.14666484,98.3596739,90.81467565,77.69326695,105.3287662,89.64693043,89.91229943,100.8073723,#N/A N/A,#N/A N/A,#N/A N/A
3/13/2000,#N/A N/A,20.8887,#N/A N/A,55.1758,#N/A N/A,#N/A N/A,#N/A N/A,15.2572,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.5151,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1427.5,79.04111749,95.30916556,98.55060457,90.72152532,77.59168368,105.0284327,89.63885013,90.36858665,101.5837935,#N/A N/A,#N/A N/A,#N/A N/A
3/14/2000,#N/A N/A,20.5801,#N/A N/A,55.2271,#N/A N/A,#N/A N/A,#N/A N/A,15.0513,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.3526,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1406.75,79.39660577,95.21154488,98.30954496,89.78341362,77.95558676,104.7800318,90.15565446,90.33638538,101.9538981,#N/A N/A,#N/A N/A,#N/A N/A
3/15/2000,#N/A N/A,20.4658,#N/A N/A,55.2069,#N/A N/A,#N/A N/A,#N/A N/A,15.0253,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.255,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1435.25,79.24209142,94.94397365,98.09855042,89.96621721,77.73673177,104.632699,89.41830133,90.09467813,101.3864925,#N/A N/A,#N/A N/A,#N/A N/A
3/16/2000,#N/A N/A,20.5474,#N/A N/A,55.2525,#N/A N/A,#N/A N/A,#N/A N/A,15.0955,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.1898,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1506.5,79.45800133,95.17858762,97.74557153,89.87417287,77.98461176,104.1920204,89.98043324,90.34620769,101.6776529,#N/A N/A,#N/A N/A,#N/A N/A
3/17/2000,#N/A N/A,20.2389,#N/A N/A,55.165,#N/A N/A,#N/A N/A,#N/A N/A,14.9171,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,35.1906,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,1511.25,79.65742485,95.04023437,97.00852227,89.120256,78.20450165,104.4994197,90.4343857,90.5130977,100.3657167,#N/A N/A,#N/A N/A,#N/A N/A
